2025-06-01 05:25:39 - User ID: 1003, Last Time: 1748748032
2025-06-01 05:25:39 - Sending back latest timestamp: 1748748032, Messages: 0
2025-06-01 05:25:40 - User ID: 1003, Last Time: 1748748032
2025-06-01 05:25:40 - Sending back latest timestamp: 1748769939, Messages: 1
2025-06-01 05:25:41 - User ID: 1003, Last Time: 1748769939
2025-06-01 05:25:41 - Sending back latest timestamp: 1748769939, Messages: 0
2025-06-01 05:25:42 - User ID: 1003, Last Time: 1748769939
2025-06-01 05:25:42 - Sending back latest timestamp: 1748769939, Messages: 0
2025-06-01 05:25:43 - User ID: 1003, Last Time: 1748769939
2025-06-01 05:25:43 - Sending back latest timestamp: 1748769939, Messages: 0
2025-06-01 05:25:44 - User ID: 1003, Last Time: 1748769939
2025-06-01 05:25:44 - Sending back latest timestamp: 1748769939, Messages: 0
2025-06-01 05:25:45 - User ID: 1003, Last Time: 1748769939
2025-06-01 05:25:45 - Sending back latest timestamp: 1748769939, Messages: 0
2025-06-01 05:25:46 - User ID: 1003, Last Time: 1748769939
2025-06-01 05:25:46 - Sending back latest timestamp: 1748769939, Messages: 0
2025-06-01 05:25:47 - User ID: 1003, Last Time: 1748769939
2025-06-01 05:25:47 - Sending back latest timestamp: 1748769939, Messages: 0
2025-06-01 05:25:48 - User ID: 1003, Last Time: 1748769939
2025-06-01 05:25:48 - Sending back latest timestamp: 1748769939, Messages: 0
2025-06-01 05:25:49 - User ID: 1003, Last Time: 1748769939
2025-06-01 05:25:49 - Sending back latest timestamp: 1748769939, Messages: 0
2025-06-01 05:25:50 - User ID: 1003, Last Time: 1748748050
2025-06-01 05:25:50 - Sending back latest timestamp: 1748769943, Messages: 2
2025-06-01 05:25:51 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:25:51 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:25:52 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:25:52 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:25:53 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:25:53 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:25:54 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:25:54 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:25:55 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:25:55 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:25:56 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:25:56 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:25:57 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:25:57 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:25:58 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:25:58 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:25:59 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:25:59 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:00 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:00 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:01 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:01 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:02 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:02 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:03 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:03 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:04 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:04 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:05 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:05 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:06 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:06 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:07 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:07 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:08 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:08 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:09 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:09 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:10 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:10 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:11 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:11 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:12 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:12 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:13 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:13 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:14 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:14 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:15 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:15 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:16 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:16 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:17 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:17 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:18 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:18 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:19 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:19 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:20 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:20 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:21 - User ID: 1003, Last Time: 1748769943
